日時,投稿数,フォロワー数,フォロー数,リスト数
2026/5/14,250,15764,17,29
2026/5/15,251,15751,17,29
2026/5/16,252,15734,17,29
2026/5/17,253,15725,17,29
2026/5/18,253,15724,17,29
2026/5/19,253,15719,17,29
2026/5/20,254,15722,17,29
2026/5/21,257,15725,17,30
2026/5/22,259,15724,17,30
2026/5/23,260,15714,17,30
2026/5/24,260,15700,17,30
2026/5/25,261,15697,17,30
2026/5/26,266,15698,17,31
2026/5/27,268,15711,17,31
2026/5/28,268,15711,17,31
2026/5/29,268,15710,17,31
2026/5/30,268,15700,17,31
2026/5/31,269,15683,17,31
2026/6/1,269,15679,17,31
2026/6/2,269,15651,17,31
2026/6/3,270,15637,17,31
2026/6/4,271,15622,17,31
2026/6/5,272,17645,17,33
2026/6/6,272,18476,17,35
2026/6/7,272,18736,17,37
2026/6/8,272,18780,17,36
2026/6/9,275,18832,17,36
2026/6/10,275,18832,17,36
